source_id,n_sectors,period,depth,verdict,flat_bottom,asymmetry,secondary_depth,odd_even,depth_cv,sin_r2,sec_detected,sec_frac_detected,sec_depth_cv,sec_depth_scatter_corr,host_scatter_ppm
5920839569767196672,3,1.0400000000000005,0.0017584658264555,natural_planet,0.4444444444444444,0.059195419165746,-0.0003521066212659,0.0006165377505547,0.2876549386808141,0.0004251146639129,3,1.0,0.1438522850276741,0.9963656588985484,700.3467330628083
962511658619139584,5,0.8000000000000003,0.0006596437917351,RESIDUAL,0.1153846153846153,0.2235861349341942,-0.000305600496816,0.1155291916976965,0.8740983664380058,0.1905376809112505,5,1.0,0.7424784805806988,0.9933416411480044,1102.8769476819639
1868370289135918080,6,1.1800000000000006,0.0013273938135495,eclipsing_binary,0.1764705882352941,0.2812479807799823,0.0005384834859828,0.025354534382236,0.977299981769186,0.0001945084397566,6,1.0,0.1702029276444525,0.2376972417728209,1980.3520827637315
2173928934175297920,8,8.340000000000007,0.0004472169012179,natural_planet,0.1666666666666666,0.1426919454994477,1.4454812637065828e-05,0.0725002671068322,,4.577088233426174e-06,2,0.25,0.0656890980394676,,355.78042107730965
3168125245131332608,12,2.220000000000001,0.0234417056823009,eclipsing_binary,0.3783783783783784,0.0249751496527849,0.0141122466059588,0.0032346852469185,0.8608426050680058,8.835390819827982e-05,11,0.9166666666666666,0.6266940899019786,0.9205076566742544,5000.155831544304
1397924585409290240,12,11.740000000000007,0.02693875396622,RESIDUAL,1.0,0.3215125419840736,0.0001104698374068,0.0015445205507462,1.563477662849581,0.0005108160574558,12,1.0,0.2479516931223736,0.3869853908784057,1738.567649984431
2947317750927588224,4,1.3800000000000008,0.0017625188025554,natural_planet,0.15625,0.1227372269088063,0.0001482905790828,0.319291068358297,1.282255387098148,0.1233411086469411,4,1.0,0.7685283064459281,0.6095235070982915,1502.5620492991163
2931013161723952640,2,2.0400000000000014,0.0011798161001803,natural_planet,0.1025641025641025,0.1402693892764357,-0.0005760977583324,0.0303039106620562,0.4026671972751213,0.4733898147984102,2,1.0,0.0726826025958265,,2130.1450825254356
2201904392635675008,10,5.440000000000005,0.0002392350879987,natural_planet,0.1290322580645161,0.0851255844622084,1.644121126997966e-05,0.0054171199403012,2.2290243331525548,0.0026918335290928,3,0.3,1.142901868769417,0.9961323453336236,825.8979729738636
3307057099171975040,8,1.2400000000000009,0.0011087749090709,natural_planet,0.2142857142857142,0.105320685832001,-0.0002136378016939,0.2250175994569277,1.5342365695359943,0.1552105073409126,7,0.875,1.130739184298725,0.9849802593065652,1453.2148324437314
1999241103734628608,8,0.7600000000000002,0.0002175315377985,natural_planet,0.1724137931034483,0.0336998573069686,2.874773474936809e-05,0.1719634064059197,3.4134240082288825,0.0057463147778286,4,0.5,0.4574226869055127,-0.168590445794312,758.8476596437545
1199758333425429120,7,12.92000000000001,0.001638158538326,RESIDUAL,0.3125,0.3714387158566028,2.1369816070038183e-06,0.0125676924025578,,0.0068016414160141,2,1.0,0.9351113904378632,,1146.2611385766008
2233850977856841216,17,4.400000000000004,0.0002622366051932,natural_planet,0.28125,0.0136796784506069,2.1689047129069827e-05,0.030462306523628,,2.107674781481883e-06,3,0.1764705882352941,0.1508628567323043,-0.1296396105831058,1183.6945992783683
3015216991987620096,5,2.0000000000000013,0.0003573761271664,eclipsing_binary,0.1,0.069403078475313,-0.0001179623989915,0.5919228561601115,1.9683615296354904,0.0588478677841256,4,0.8,0.9630380334982496,0.97784377732294,954.6349969357384
