source_id,cohort,sde,period,depth,flat_bottom,asymmetry,depth_cv,se_snr,verdict
4798017333409255808,2,21.111554662413145,0.52,0.005027763150365239,0.25925925925925924,0.3617664614222197,0.3330103120694789,13.129046024781783,RESIDUAL
6655881995090396928,1,20.076250650097183,0.56,0.0015107296759160338,0.09523809523809523,0.13929665079664214,0.46447132740125924,5.889669546546633,RESIDUAL
2785817011975081728,1,19.729411546774386,0.5,0.0006615934809570678,0.19047619047619047,0.02243725326848937,1.1373878172296423,4.196844022742426,RESIDUAL
2628360590325729920,2,19.061200442712202,0.5,0.024916900352146554,0.4444444444444444,0.22151865269349844,0.32922820556351007,8.223164229520982,RESIDUAL
737869029196523520,1,18.996721877151753,0.6800000000000002,0.001626784198121678,0.2,0.10444529075786771,0.279102923662826,6.82630881754978,RESIDUAL
3309425550297763328,1,18.918124003605612,0.5,0.0008273643014319321,0.15384615384615385,0.015989946764644103,0.6688694673852501,9.607226165199164,RESIDUAL
6736005877012175872,1,18.49981963020863,0.54,0.00129460002601689,0.16666666666666666,0.1266145617483078,,5.5556132239826885,RESIDUAL
2241832401480717568,2,18.459504060050087,0.56,0.001215544961497228,0.11538461538461539,0.032664638766509504,0.5797398926037002,7.034625252187614,RESIDUAL
3822460355876656256,2,18.433743984363332,0.7200000000000002,0.002435687219479732,0.2,0.12250366109831437,0.3373222353657063,6.262781960623824,RESIDUAL
3140367940948886528,2,18.210719265288226,12.800000000000011,0.010548743542121763,1.0,1.6396184649738546,,429.3959146488526,RESIDUAL
1303391633670077952,2,17.979709428589736,0.56,0.0685279461024988,0.7538461538461538,0.016943269042519898,0.931199466792308,17.561767094537224,RESIDUAL
249997440575741824,0,17.67264335458572,0.7200000000000002,0.002285911635067195,0.125,0.14279171503134447,0.3855733066272021,4.819236238444014,RESIDUAL
2235935716324262400,2,17.14133147252798,2.0600000000000014,0.004862232235046449,0.6363636363636364,0.17221144606381492,0.24830415114688253,11.808941235239093,RESIDUAL
6485127598776039424,2,16.83104385150433,0.8200000000000003,0.2025404559218804,0.36,0.16355088316678795,0.19607390847660525,7.942878675001204,RESIDUAL
2186607230958649600,2,16.76308784005099,0.5800000000000001,0.013984559775158778,0.2727272727272727,0.2848166178975052,0.2562072490185842,4.072743391930619,RESIDUAL
2507484130258715136,2,16.671191835709067,0.54,0.005273783079944416,0.3148148148148148,0.11409813270625999,0.4456135594677836,23.277891975370416,RESIDUAL
6630119265123180416,2,16.620366084323397,0.6600000000000001,0.0011107569467705414,0.1111111111111111,0.0965855444301605,0.7337989529680053,4.325338729872727,RESIDUAL
448826350176375552,0,16.58737861487576,0.7200000000000002,0.0012279679592656079,0.08,0.0054018175505280526,0.5747948418443372,6.09229331530816,RESIDUAL
528143577114227456,0,16.429443698408058,0.5800000000000001,0.0008687483940773566,0.18518518518518517,0.017722630591614115,1.1648618720949593,5.534327243484442,RESIDUAL
1739467531612055936,0,16.153660274689752,0.56,0.0006268757116196788,0.08,0.02041428406269198,0.9573873130531907,5.856099001626555,RESIDUAL
3048716018914294912,2,16.143654656275853,0.6000000000000001,0.0024684792455811344,0.225,0.013335550013184937,0.64480203342478,13.475607491828024,RESIDUAL
6753381841517942656,1,15.866497858763296,0.5800000000000001,0.0013418533666462729,0.17391304347826086,0.04988773643532036,1.6478637016415774,3.4308232308382998,RESIDUAL
3458586946990356224,2,15.779867909158945,1.660000000000001,0.3860921275877529,0.3333333333333333,0.2465431321532181,0.42098156516977137,26.828919573171692,RESIDUAL
4885864159236582144,2,15.728310112277253,0.56,0.0009914188872196528,0.2,0.044060575968778264,0.6274413863053301,13.7673666573156,RESIDUAL
5301839301007614976,2,15.687454952428888,0.7600000000000002,0.003180648191466906,0.1956521739130435,0.09555316233951634,0.42331007946855037,20.394027272087268,RESIDUAL
6645234977319950464,0,15.63080533148932,0.6000000000000001,0.0006267501004859621,0.125,0.0346612653947539,1.5538861238161235,3.6664034464881126,RESIDUAL
2697280938388004992,2,15.623301576551246,0.5,0.008194022445421223,0.4,0.11524337910318067,0.24902935593669895,6.618289205343588,RESIDUAL
4046694237561723008,0,15.214896761439023,0.6200000000000001,0.0016637075471891416,0.15789473684210525,0.04329776621369311,0.5936227309549162,4.739745093049645,RESIDUAL
6758340948200225408,0,15.21254736474001,0.56,0.0010220048647482383,0.29411764705882354,0.12506811571863186,0.6096065737661763,4.2860204940825914,RESIDUAL
1947514613564280704,2,15.159679777132286,3.5400000000000027,0.002748825585138781,0.45454545454545453,0.08603921288823348,1.684636219408748,7.724571938534526,RESIDUAL
1596778994233539968,2,15.15648252828596,0.9800000000000004,0.09312623029272371,0.42105263157894735,0.11485111947985213,0.057404431700024315,12.443530547374625,RESIDUAL
448826560635439616,0,15.065547904025482,0.7200000000000002,0.000983142708463114,0.06060606060606061,0.03938062244133101,0.4933913670402727,7.25494780546635,RESIDUAL
4275193889350151680,0,14.990835989695661,6.760000000000005,0.00035207301361217525,0.25,0.6326962483656581,,1.9825303301918489,RESIDUAL
5875166994945724672,2,14.94859165455403,0.52,0.0020974471832240216,0.09523809523809523,0.05616116310479605,0.8725639505057703,4.138983298342662,RESIDUAL
2914063807720465280,2,14.922139299415596,0.9400000000000004,0.3939809278266927,0.38095238095238093,0.32107143045492265,0.18465170352879937,2.785297940476914,RESIDUAL
4528302290701759232,1,14.8612489308931,0.5800000000000001,0.001162925853931407,0.15151515151515152,0.13030407341850458,0.7870798325117961,4.476284798267186,RESIDUAL
2645559121143503872,2,14.809420538307274,0.7400000000000002,0.01663800344044697,0.3125,0.18183699518467952,0.1385615206048358,9.480435480903141,RESIDUAL
1967144224716598016,1,14.804158356420782,0.54,0.0006861156779482958,0.18181818181818182,0.03787053508530352,0.6315170558661732,5.552369940029203,RESIDUAL
2663311492287907712,2,14.776824332813202,0.8200000000000003,0.4510692405784942,0.3333333333333333,0.641620481677366,0.12353267679921112,7.688928871051093,RESIDUAL
5258400856461550208,1,14.751787142717102,0.5800000000000001,0.003155586073489869,0.17647058823529413,0.009558503810987952,0.5862079986248425,4.601265857423132,RESIDUAL
2142949231985222784,2,14.40932617127252,2.740000000000002,0.004512159783577552,0.6666666666666666,0.0930857407380886,1.0526230419544942,17.24677828458816,RESIDUAL
1219268823662931840,2,14.393089042231674,0.5,0.013988247786380748,0.12903225806451613,0.13422225192984544,0.3938402281388768,11.188971367741791,RESIDUAL
1829103396016133376,2,14.380201436302153,0.7800000000000002,0.02118925673192884,0.1,0.00987441535941696,0.4239832090745812,4.686491193565712,RESIDUAL
2425329622159382912,2,14.373186093203902,1.9000000000000012,0.05481115037527384,0.6,0.5317753524422746,0.4859951769784325,105.0750593418736,RESIDUAL
1129490881755217152,2,14.347243501284678,0.8800000000000003,0.02981164322184926,0.2727272727272727,0.036153378480644864,0.6538777406025742,179.35889899237446,RESIDUAL
938739834973102720,2,14.207931070518988,0.8600000000000003,0.2975473898688512,0.5238095238095238,0.15507529124771935,0.22602123645493324,2.195143487087634,RESIDUAL
871686122648296576,2,14.19082032535053,1.660000000000001,0.07180073290077349,0.8181818181818182,0.03616934448823512,0.266293655305446,219.34540984536383,RESIDUAL
4133229208573236224,1,14.172893103576458,12.960000000000012,0.06732507842695656,0.6666666666666666,0.12885046685297818,,1046.030865879361,RESIDUAL
3514475531051071488,2,13.84205518412399,0.6800000000000002,0.002541581714139207,0.13157894736842105,0.11178495461275913,0.25659476133139086,11.564924333590636,RESIDUAL
1602056787485486720,2,13.80771194773488,0.8200000000000003,0.003321397170712559,0.3055555555555556,0.09416406730050102,0.4536521230037643,17.00811792036313,RESIDUAL
1138373389520058368,1,13.801112352889822,0.56,0.0010817997140870617,0.22857142857142856,0.08177295158308165,0.5545411972695944,8.765753083338824,RESIDUAL
1693742549568892160,2,13.78767909708492,4.180000000000003,0.0195689417765863,0.5,0.24320717991307803,0.46329877132034214,67.60911492154882,RESIDUAL
5536018299705383296,2,13.73236049026293,0.6000000000000001,0.018141309658465943,0.42105263157894735,0.28753256275446476,0.22250253091200609,2.4525351439326992,RESIDUAL
1405570864146377344,0,13.686025654109923,0.6400000000000001,0.0009575836260209414,0.14285714285714285,0.07356942802637273,0.5908280209649184,3.610355717737471,RESIDUAL
47316005432912256,2,13.672210560865555,0.7200000000000002,0.002336572888021027,0.21739130434782608,0.1965770951141492,0.46991805000939185,38.68538125771547,RESIDUAL
3165429861096208512,2,13.647008515604815,1.2600000000000007,0.2396005395718177,0.6923076923076923,0.31930984113591293,0.2631552093818425,23.16598356076478,RESIDUAL
2834425703780344704,0,13.593236418116712,1.1600000000000006,0.00397643179696483,0.45454545454545453,0.0796040368818385,0.4696784544814736,35.4256493697232,RESIDUAL
4513844331299813248,0,13.576562803033758,1.9000000000000012,0.002369859944529207,0.25,0.11258631075993264,0.18217457437650386,11.422450852028764,RESIDUAL
6386751579018596864,2,13.572086143332811,2.800000000000002,0.016437864841504002,0.6,0.04699745774722811,0.7039558825747957,63.67790485889181,RESIDUAL
5251888522138694656,2,13.443119469841657,0.7800000000000002,0.0014241878877977454,0.10810810810810811,0.12659756741586173,0.2359339470860616,36.53209391187756,RESIDUAL
2227309055469504640,1,13.347217524514855,3.860000000000003,0.013558200385501262,0.75,0.06927607809212566,0.1645062416988816,61.618054842943074,RESIDUAL
3139598072351921024,1,13.319993272529647,12.720000000000011,0.4027461312534013,1.0,0.1478072509942243,,830.6366987896673,RESIDUAL
6724123905850369024,0,13.300694568343772,0.7000000000000002,0.0015280477406481863,0.11764705882352941,0.03858950263344411,0.6245446913532113,6.481835048838207,RESIDUAL
1868370289135918080,2,13.241593389188619,1.1800000000000006,0.002226812766247477,0.1875,0.3135164186319913,0.3693384768124489,6.691180575650661,RESIDUAL
2028242337887550464,0,13.16811925711075,0.6200000000000001,0.001660422445577181,0.15,0.014522870002851986,0.6181061278827857,4.429935546456977,RESIDUAL
6388534265324526336,2,13.12360160995026,0.9400000000000004,0.050971113623290765,0.34615384615384615,0.01840936586772024,0.4534751848938532,193.0711145126399,RESIDUAL
1968243190891255936,0,13.123211049467384,1.7800000000000011,0.0016339459774141751,0.4,0.2405342926145426,0.31369178211901133,11.935444149621599,RESIDUAL
2342601748810281088,2,13.11888469255081,0.8800000000000003,0.012985931219113067,0.42857142857142855,0.1572237573816465,0.1996399221613811,2.376304092905054,RESIDUAL
6728733947620329728,0,13.054167946801332,0.7000000000000002,0.000887336489174495,0.1875,0.0178758438066538,0.9836057145863439,3.617536901937317,RESIDUAL
1214032944994326400,0,13.044613485691283,0.56,0.0012413102727295566,0.23529411764705882,0.13837559845669245,0.7649964041244097,5.103212099586589,RESIDUAL
6608004723327657856,2,13.039962585445187,1.1200000000000006,0.13562565847524377,0.5217391304347826,0.03766867843447635,0.5317865801423463,603.4145954943383,RESIDUAL
1381579138175507840,1,12.990747986150145,1.0800000000000005,0.013317647507947061,0.6666666666666666,0.41938802803757896,0.487903321598216,51.83826617661926,RESIDUAL
5765564961441973120,2,12.931516554562146,1.0000000000000004,0.5095581882930569,0.35294117647058826,0.6724353752580917,0.12580863664658845,11.678664282543064,RESIDUAL
4318228774490660608,1,12.907719900342439,0.6000000000000001,0.00199208180859356,0.13636363636363635,0.11750521748589927,0.6398311910584122,6.296549464320995,RESIDUAL
2223396237183204480,2,12.86381593241567,0.7600000000000002,0.0030111577897578012,0.375,0.1278671056974464,0.3619032639512362,5.59213837860578,RESIDUAL
5597462484110205056,0,12.845269622128358,1.0400000000000005,0.0023137440578663293,0.23809523809523808,0.10404974507687385,0.4238964847724867,7.064680841898531,RESIDUAL
6176829997249090048,2,12.82232513968525,1.1800000000000006,0.8060827323661899,0.2564102564102564,0.1489878053904294,0.12868167475066528,9.401602175082886,RESIDUAL
5394502155257607040,1,12.800518405807603,0.54,0.0005203157556841198,0.20930232558139536,0.11007933089330374,0.7120127202159122,11.189532313435555,RESIDUAL
6000428479168785024,2,12.792170500901193,1.2200000000000006,0.03150152466753475,0.4,0.28005327252427986,0.09927376389275352,21.679914911678864,RESIDUAL
2012218708194787328,0,12.769086890583774,0.54,0.0008455078535756222,0.15151515151515152,0.0737018558788605,0.5991079925358201,3.723766355472088,RESIDUAL
5812526546176162304,2,12.745083311607196,0.8200000000000003,0.0017950144356455588,0.11538461538461539,0.37690258405918403,0.4616220042277541,4.697856301909385,RESIDUAL
5855554937320535424,2,12.74350516978524,3.800000000000003,0.002055801032985638,0.38461538461538464,0.025730124814859402,1.927211609154998,6.1371779453070845,RESIDUAL
4760166237602380032,2,12.683544244112081,1.600000000000001,0.0016278917185165165,0.2631578947368421,0.02618200201730561,0.9610924449270436,4.712316373285317,RESIDUAL
3205278876905741952,2,12.668943531498213,1.3200000000000007,0.14111387422869592,0.3333333333333333,0.187648136098413,0.07742211296500745,12.523077055551168,RESIDUAL
1491634483976350720,0,12.656779137946968,2.1400000000000015,0.0004885545586134077,0.26666666666666666,0.00954533206837795,1.06340063513365,4.604872295921843,RESIDUAL
6580961444569632384,1,12.652936311546172,0.56,0.0008294928006481461,0.15789473684210525,0.003727376132617762,2.12985377076906,4.103178847331666,RESIDUAL
6864624586860772224,2,12.629077698544204,0.9800000000000004,0.05025687764562181,0.16216216216216217,0.06933419699589133,0.6463556722633061,154.23059905247416,RESIDUAL
5772875854774091520,2,12.628402976459439,0.7600000000000002,0.010078799320234921,0.18181818181818182,0.05944002626683644,0.4906085983280546,7.767352758528423,RESIDUAL
6261067160761528832,1,12.609307491443543,12.980000000000011,0.9699934021939218,1.0,0.12342086298821991,,1807.5410022860829,RESIDUAL
5238809728247050880,2,12.590226808442637,0.56,0.0012972521560397077,0.19230769230769232,0.05521746822369437,1.749288132396223,4.810204035630617,RESIDUAL
3229424397065981440,0,12.584634567732747,0.6200000000000001,0.0014278263233991062,0.14285714285714285,0.10651100552781473,0.852994011263385,4.42452482063952,RESIDUAL
6252502205701135872,1,12.536948309935902,12.980000000000011,0.3309006044919671,1.0,0.30466742765047006,,1543.2792376934176,RESIDUAL
3129323862046102272,2,12.521948195014565,12.800000000000011,0.004832126586557739,0.15384615384615385,0.40524282758305546,,326.9110293697755,RESIDUAL
6674523974217870592,2,12.5217118444181,1.3000000000000007,0.00873534651368646,0.34285714285714286,0.1369186607022509,0.18657266277955734,4.152487466845347,RESIDUAL
5259205153533714688,2,12.510497845963705,1.0600000000000005,0.0028063447615860326,0.12903225806451613,0.026610315968339703,0.6569369764023024,4.309083742285386,RESIDUAL
2618741826383205888,2,12.484196867150583,1.640000000000001,0.1482366075207202,0.45454545454545453,0.27494683253871843,0.2850206179146166,30.08891303650614,RESIDUAL
6246146684895695744,1,12.469311995437597,12.980000000000011,0.31189104145222635,1.0,0.09560588388181894,,1819.4109033298669,RESIDUAL
