source_id,n_sectors,period,depth,verdict,flat_bottom,asymmetry,secondary_depth,odd_even,depth_cv,sin_r2,sec_detected,sec_frac_detected,sec_depth_cv,sec_depth_scatter_corr,host_scatter_ppm
2628360590325729920,2,0.5,0.024414761588671,natural_planet,0.2857142857142857,0.0976453607282909,-0.007645063631658,0.4634015135358835,0.3918962214561849,0.3551386331195394,2,1.0,0.3816683440349215,,32029.561047331707
962511658619139584,5,0.8000000000000003,0.0006596437917351,RESIDUAL,0.1153846153846153,0.2235861349341942,-0.000305600496816,0.1155291916976965,0.8740983664380058,0.1905376809112505,5,1.0,0.7424784805806988,0.9933416411480044,1102.8769476819639
1868370289135918080,6,1.1800000000000006,0.0013273938135495,eclipsing_binary,0.1764705882352941,0.2812479807799823,0.0005384834859828,0.025354534382236,0.977299981769186,0.0001945084397566,6,1.0,0.1702029276444525,0.2376972417728209,1980.3520827637315
2186607230958649600,4,1.1400000000000006,0.0193057583191682,eclipsing_binary,0.2391304347826087,0.0103349086519125,0.0232674184269423,0.0497540688869775,2.884301423157307,0.2781025951647256,3,0.75,0.2684949023938975,0.9988149947698098,21462.28055536609
6898307404019931392,2,1.4800000000000009,0.0133045526964996,natural_planet,0.3947368421052631,0.0950730848917758,-0.0015394909079919,0.0268320038415139,0.3307033556167087,0.4477430931740436,2,1.0,0.0832965355021803,,12251.420744746745
5094194949543169664,6,5.260000000000004,0.0015109201753144,natural_planet,0.4545454545454545,0.0013105690729394,-6.0650167945430766e-05,0.0036805293312466,,8.802022729015313e-06,6,1.0,0.3692909852668514,-0.1366659563422495,1696.5782222543842
5247165398115868160,8,0.9200000000000004,0.0011248007924015,natural_planet,0.2333333333333333,0.1028099747707673,-0.0002374688850537,0.0261002126630264,2.712810868003116,9.07601099315869e-05,4,0.5,0.298030947170159,0.8135902223653589,924.4332815200299
3168125245131332608,12,2.220000000000001,0.0234417056823009,eclipsing_binary,0.3783783783783784,0.0249751496527849,0.0141122466059588,0.0032346852469185,0.8608426050680058,8.835390819827982e-05,11,0.9166666666666666,0.6266940899019786,0.9205076566742544,5000.155831544304
637751829698267648,20,11.580000000000007,0.0008201960235998,natural_planet,0.1428571428571428,0.026645445427782,-2.514082555415964e-05,0.0400314268640309,3.688222863323129,6.113815515618182e-05,2,0.1052631578947368,0.997979167715264,,1900.6543356332581
1129490881755217152,20,11.40000000000001,0.0156862069860712,natural_planet,0.6666666666666666,0.0756194702452088,0.0001722571522579,0.0010909792644775,6.084121351904598,2.466836952996765e-05,18,0.9,0.5240948137924298,0.0683545341394876,1772.0906403864676
5920839569767196672,3,1.0400000000000005,0.0017584658264555,natural_planet,0.4444444444444444,0.059195419165746,-0.0003521066212659,0.0006165377505547,0.2876549386808141,0.0004251146639129,3,1.0,0.1438522850276741,0.9963656588985484,700.3467330628083
2173928934175297920,8,8.340000000000007,0.0004472169012179,natural_planet,0.1666666666666666,0.1426919454994477,1.4454812637065828e-05,0.0725002671068322,,4.577088233426174e-06,2,0.25,0.0656890980394676,,355.78042107730965
1834102703593748864,2,6.940000000000006,0.0046302821677733,natural_planet,0.5,0.1373598402636351,-2.981527243317572e-06,0.0504220627847208,0.4505654102059809,0.0056436349592761,2,1.0,0.178084412551179,,938.0715611861445
93357127133226496,7,3.2000000000000024,0.0030360701601024,RESIDUAL,0.25,0.6653760510866492,1.7381240947189625e-05,0.1004174048088033,,0.0018549382802094,5,0.7142857142857143,0.472083120223437,-0.738054942225641,1850.3080221204702
3788580279456572928,8,1.4600000000000009,0.0193603137321145,natural_planet,0.375,0.0396841110494054,-0.0069651351025956,0.0094390924965774,0.5035706609330591,0.0001274898973177,8,1.0,0.6595695215918237,0.9180859316554236,6231.822760564081
3553332306335529856,4,0.8000000000000003,0.021406292850939,eclipsing_binary,0.1666666666666666,0.0805522325237729,-0.0003122299875777,0.6769958887731239,1.4989211137736111,0.1497045298170537,4,1.0,0.6674543356506626,0.9731457371065142,2807.2182517463657
4513844331299813632,5,1.9000000000000008,0.0010578715983141,eclipsing_binary,0.1428571428571428,0.0406841848865206,0.0003238127113701,0.027354923014912,1.6550310351969917,0.0035809992226704,4,0.8,0.4654539195427321,0.8166818436717826,841.5157289085298
647516863047664128,9,0.9800000000000004,0.0008520197593258,natural_planet,0.217391304347826,0.0393259962618168,0.0001550328602355,0.0357028203654758,3.18350521731735,0.0261249441474733,7,0.7777777777777778,0.9524080692604492,0.9751965217292264,2442.527981652376
548549138533673856,5,2.620000000000002,0.00083029698864,RESIDUAL,0.217391304347826,0.2691022717967212,-6.216588785112886e-05,0.0913691186686822,1.32068275621497,0.0003850201082653,4,0.8,0.3784114304116207,0.1179068034779096,679.4251678037695
2233850977856841216,17,4.400000000000004,0.0002622366051932,natural_planet,0.28125,0.0136796784506069,2.1689047129069827e-05,0.030462306523628,,2.107674781481883e-06,3,0.1764705882352941,0.1508628567323043,-0.1296396105831058,1183.6945992783683
2201904392635675008,10,5.440000000000005,0.0002392350879987,natural_planet,0.1290322580645161,0.0851255844622084,1.644121126997966e-05,0.0054171199403012,2.2290243331525548,0.0026918335290928,3,0.3,1.142901868769417,0.9961323453336236,825.8979729738636
1139803128297146496,10,12.38000000000001,0.0006777774486006,natural_planet,0.12,0.0395718360197292,-2.125456855694985e-05,0.1635039479252328,2.2062602496969306,0.0002947894103751,2,0.2222222222222222,0.1027818333661925,,1999.1363713546825
3307057099171975040,8,1.2400000000000009,0.0011087749090709,natural_planet,0.2142857142857142,0.105320685832001,-0.0002136378016939,0.2250175994569277,1.5342365695359943,0.1552105073409126,7,0.875,1.130739184298725,0.9849802593065652,1453.2148324437314
5235101277366192256,22,1.1000000000000003,0.0008668435222564,RESIDUAL,0.1875,0.2071612907653107,-1.554471182174666e-05,0.2942210444577154,0.9787350909800058,0.092210175738571,22,1.0,1.669706108556574,0.993929751526479,5723.282779832109
4768780567608340608,34,8.260000000000007,0.0013537176920929,natural_planet,0.4642857142857143,0.0011321828672919,5.365432907256107e-05,0.0186695125373655,,8.825479282292825e-05,29,0.8529411764705882,0.76782262192648,0.8811810005109979,1583.78015485565
2179813035068106240,4,11.44000000000001,0.0009095570808983,RESIDUAL,0.2222222222222222,0.2476688106405415,0.0001518055613618,0.1907530345997553,32.59093067266547,0.0016527293845429,2,0.5,0.8484960257302183,,908.080298502564
